Company,Country,Count
"HUAWEI TECHNOLOGIES CO., LTD.",CHINA,5405
ZTE CORPORATION,CHINA,2080
BOE TECHNOLOGY GROUP,CHINA,1813
INTEL CORP,US,2499
QUALCOMM INCORPORATED ,US,2404
SAMSUNG,KOREA ,1997
LG,KOREA ,1697
MITSUBISHI,JAPAN,2812
ERICSSON,SWEDEN,1645
ROBERT BOSH ,GERMANY,1524
